Temporada;Jornada;Recaptació;Pot;15;14;13;12;11;10
07-08;22;13613515,00;0;0;4;161;2615;25006;152310
07-08;23;5469218,00;0;14;24;1039;21077;145715;622568
07-08;24;12000347,00;1361352;5;7;173;2885;25801;152273
07-08;25;14242205,00;492230;5;12;263;3394;32235;200863
07-08;26;13912549,00;0;3;6;276;3685;29639;164226
07-08;27;14150828,00;0;0;2;51;793;8334;59289
07-08;28;15289116,00;1415083;1;4;55;967;9445;64798
07-08;29;14200575,50;0;8;33;1025;15104;120502;587348
07-08;30;14596189,50;0;3;60;1616;21432;153589;681526
07-08;31;14828326,50;0;6;6;260;2104;20483;132651
07-08;32;14689858,50;0;4;12;276;4019;34307;194031
07-08;33;14509541,00;0;26;134;3284;39298;252201;996974
07-08;34;14433892,50;0;6;23;604;9202;76199;402236
07-08;35;12782232,00;0;1;2;96;1372;13078;84844
07-08;36;14342740,00;0;0;1;51;903;9306;67217
07-08;37;15408579,00;0;0;1;42;687;7406;48750
07-08;38;16534798,00;0;0;3;95;1555;14137;90674
07-08;39;17452873,50;0;0;1;18;472;5218;39780
07-08;40;18090313,00;6373899;3;15;761;10193;82498;425010
07-08;41;13600919,50;0;111;213;5057;50790;290368;1064120
07-08;42;6707231,00;0;59;103;2252;27071;161812;567578
07-08;43;11442718,00;0;14;20;525;8123;68099;353930
07-08;44;12526048,50;0;5;11;230;3332;29780;178182
07-08;45;5819439,00;0;3;4;156;2464;17875;92214
07-08;46;6250798,50;0;3;4;146;2181;19490;108985
07-08;47;6144412,50;0;2;6;148;2085;16715;93090
07-08;48;6351363,50;0;2;28;737;8544;61067;281292
08-09;01;9519872,50;0;0;1;34;530;4891;32783
08-09;02;5861413,50;0;0;2;140;1912;15033;80147
08-09;03;3158851,50;0;0;0;40;697;7276;49513
08-09;04;10915256,00;951987;1;4;100;1380;12695;80771
08-09;05;12664149,50;1281089;174;482;11417;103378;509358;1581217
08-09;06;6110355,00;0;522;734;20759;121139;465659;1159678
08-09;07;10977174,00;0;16;21;681;10106;78047;370021
08-09;08;2755246,50;0;8;18;675;8750;59476;239501
08-09;09;12759661,50;1689705;3;6;170;2222;22045;138099
08-09;10;7599878,50;0;20;46;1049;11698;78787;345178
08-09;11;3301030,00;0;3;7;652;10835;90973;411462
08-09;12;11729485,00;0;14;40;1072;12397;85728;395447
08-09;13;2909168,50;0;14;33;1333;14786;91458;344591
08-09;14;12269773,50;0;0;3;138;2232;20623;130003
08-09;15;2531528,00;0;0;0;14;455;6682;52281
08-09;16;11794057,50;0;0;3;97;1457;15034;105408
08-09;17;3246606,00;0;0;1;4;69;550;4901
08-09;18;13786654,50;1736342;277;825;18030;151045;707464;2058101
08-09;19;2800706,00;0;26;46;878;17870;187812;482115
08-09;20;13509719,00;1736342;1;7;206;4347;44886;265527
08-09;21;14115740,50;1565470;2;5;130;2038;20777;134536
08-09;22;2708898,50;0;3;12;1102;13563;86784;317738
08-09;23;12767333,00;0;603;966;16815;131798;596128;1714220
08-09;24;13262631,50;1644924;2;3;105;1720;16864;106546
08-09;25;2104764,50;0;0;0;10;181;2129;18268
08-09;26;12538770,50;0;1145;1570;27643;216879;714890;1799297
08-09;27;2127635,00;0;0;2;78;1052;8137;39710
08-09;28;11787728,00;0;0;51;473;10754;101732;527905
08-09;29;12773351,00;1804301;3;8;268;3448;26966;148367
08-09;30;12341348,50;0;0;1;63;955;9551;63968
08-09;31;13089597,00;0;5;35;1199;17014;132180;635178
08-09;32;13821444,00;1234135;5;10;257;3324;28633;163927
08-09;33;13319740,50;0;1;4;176;3281;32467;206388
08-09;34;13483970,50;0;16;75;2292;24242;166503;734867
08-09;35;13916756,00;0;0;2;93;1599;15820;102835
08-09;36;14399766,00;1391676;0;0;77;1515;17299;128685
08-09;37;15830191,50;4559624;0;4;41;977;11759;86217
08-09;38;16349920,00;6142643;5;22;657;9334;77667;415741
08-09;39;14247208,50;0;5;10;306;4443;35851;201948
08-09;40;13823859,00;0;25;88;3874;47442;307509;1245233
08-09;41;8377668,00;0;5;40;1158;13304;91542;401719
08-09;42;3495142,50;0;634;1844;30398;225253;707492;1249938
08-09;43;12419123,00;314563;9;16;571;9049;81687;451380
08-09;44;12235972,50;0;24;58;1827;23615;171800;763815
08-09;45;13526564,50;0;321;694;15651;141734;706392;2128419
08-09;46;5066114,00;0;8;16;505;9341;82138;406320
08-09;47;11889833,00;1217391;55;116;2520;25017;150330;612665
08-09;48;12772558,50;0;0;0;17;288;3179;23664
08-09;49;13202928,50;2809963;56;122;4177;50561;319358;1183648
08-09;50;12170931,50;0;42;85;2229;24418;157845;675980
08-09;51;11307815,00;0;2;15;380;4757;38283;199078
08-09;52;10948112,00;0;37;43;1173;16831;131726;618144
08-09;53;5303563,50;0;113;156;3435;33395;181632;618078
08-09;54;5467387,00;477321;1302;4476;61605;346811;1081553;2011791
08-09;55;4301559,00;0;0;1;5;150;1661;11547
09-10;01;8943853,00;0;7;18;504;7595;62530;328345
09-10;02;5207890,00;0;0;7;170;2635;22139;118678
09-10;03;2902641,50;0;40;167;3918;36469;185482;564173
09-10;04;10130958,00;1443010;12;26;948;13543;102628;470703
09-10;05;2547677,00;0;55;160;5713;57035;282877;720947
09-10;06;10941314,00;261238;1;5;160;2708;24556;152579
09-10;07;4266968,50;0;2;5;171;2767;25363;135290
09-10;08;11095470,00;229291;12;37;1076;14670;115936;561375
09-10;09;2941372,50;0;7;34;2817;43634;254466;735165
09-10;10;11456260,50;0;26;125;2871;28905;176237;698656
09-10;11;6689945,00;0;6;9;157;2593;22512;124114
09-10;12;2638374,50;0;23;138;2830;32696;206155;719182
09-10;13;11542770,00;264724;0;0;39;613;6106;37626
09-10;14;2603526,50;0;0;0;1;56;960;10053
09-10;15;12428201,50;3041587;11;33;1302;17504;133910;624136
09-10;16;2268162,00;0;2;16;1044;12903;73586;250907
09-10;17;11996493,00;572776;2;24;1043;16475;140769;690566
09-10;18;2881647,50;0;0;1;20;441;4572;31162
09-10;19;12237285,50;204135;12;25;723;10760;89104;461354
09-10;20;2714302,00;0;4;7;139;1838;17373;104292
09-10;21;5715790,00;0;0;3;53;803;9060;65309
09-10;22;12700005,00;859744;19;165;4250;47454;293140;1117587
09-10;23;2803746,00;0;2;4;113;2161;20943;118311
09-10;24;11887680,50;0;1;1;126;2047;21798;142923
09-10;25;2038787,00;0;15;108;2627;25214;121115;333125
09-10;26;11545057,00;0;13;28;639;10923;101722;567149
09-10;27;1826170,00;0;0;3;63;1460;15174;86356
09-10;28;11913200,00;183491;10;42;1402;15879;113258;514939
09-10;29;1819680,00;0;0;0;14;121;1348;9566
09-10;30;10730023,00;182617;3;7;436;8011;71258;378191
09-10;31;11772578,50;400330;0;1;40;902;10130;73487
09-10;32;13307599,50;1577587;19;79;2770;46476;341313;1367003
09-10;33;13032627,00;1197684;2;13;301;4837;43436;248850
09-10;34;13045533,00;0;12;50;1345;18231;141183;682972
09-10;35;13077627,50;0;1;1;10;191;1879;14189
09-10;36;13177848,00;0;40;130;3792;40965;243090;968690
09-10;37;13435420,50;0;13;61;1964;24587;165236;715043
09-10;38;1613060,50;0;0;2;36;473;3688;19753
09-10;39;12361417,00;0;11;34;739;10773;89962;472008
09-10;40;1659304,50;0;0;0;33;643;5826;33309
09-10;41;12957937,50;161306;1;6;172;2281;20561;125301
09-10;42;14237868,00;365047;5;9;379;8225;84123;470662
09-10;43;13444892,00;0;3;10;395;6471;58002;330817
09-10;44;13130070,50;0;19;48;1358;18662;142202;677118
09-10;45;4433709,00;0;6;13;274;5339;44784;228965
09-10;46;11792493,00;0;1;2;35;618;5881;40389
09-10;47;11377672,50;0;707;992;20523;165497;707502;1929817
09-10;48;13100675,00;1023991;65;207;5156;55970;335185;1242027
09-10;49;4014083,00;0;1;1;64;1136;9009;52830
09-10;50;11281651,00;0;1;1;59;803;7901;52138
09-10;51;12565440,50;1179061;3;13;594;8872;75985;414361
09-10;52;11247687,00;0;3;4;274;4260;36205;201043
09-10;53;4702871,50;0;119;266;5319;45629;221658;684177
09-10;54;11910068,00;0;18;32;973;11919;86633;413564
09-10;55;13349859,50;423258;117;175;4527;50118;306389;1174743
09-10;56;4971817,50;0;1;3;258;4589;39391;195878
09-10;57;5399525,00;0;3437;5529;68000;352582;989356;1740129
09-10;58;4773026,00;485957;1;11;531;8369;62284;288992
09-10;59;4808009,00;0;35;431;7255;59610;290114;877103
09-10;60;4453749,50;432721;70;168;5942;57972;281249;809130
09-10;61;2040934,50;0;0;0;14;373;4078;29361
10-11;01;7804827,50;0;10;23;771;10259;76057;354330
10-11;02;3662965,50;0;0;0;33;502;5008;31754
10-11;03;1623603,00;0;43;283;8485;66481;249047;536282
10-11;04;9652636,50;1801820;1;8;858;17037;150435;721550
10-11;05;1935526,00;0;8;10;330;5978;51365;233887
10-11;06;9870123,50;0;182;326;6993;64469;338659;1107593
10-11;07;3740562,00;0;0;1;63;1094;10713;67013
10-11;08;9836276,00;1062508;0;0;11;295;3298;27725
10-11;09;2219549,00;0;21;87;2759;31983;177995;503265
10-11;10;11020067,50;3600545;2;4;203;3524;33568;203374
10-11;11;4898571,00;0;0;0;22;340;3470;21760
10-11;12;1865636,50;0;98;338;8745;68927;258135;550624
10-11;13;10873549,00;1277445;22;29;870;14285;113596;531266
10-11;14;2162111,00;0;37;61;9823;72675;283941;680168
10-11;15;10857653,50;167907;28;64;3721;49688;318845;1176787
10-11;16;2039294,00;0;0;0;9;150;1315;11696
10-11;17;11160118,00;1171779;4;14;505;7100;61572;341959
10-11;18;2092506,50;0;0;0;25;473;4727;28125
10-11;19;11101013,00;448644;231;558;13687;123375;588121;1694882
10-11;20;2031452,00;0;29;85;1452;17216;123671;491800
10-11;21;11282437,00;1459443;2059;3682;47984;324879;1242543;2886437
10-11;22;11616949,50;1198250;4;23;778;11855;93863;462270
10-11;23;2225300,00;0;136;312;7489;76236;306038;683103
10-11;24;11092720,50;0;1;2;72;1338;14712;104999
10-11;25;1618949,00;0;0;0;65;1170;10248;52286
10-11;26;10201506,50;200277;36;56;1519;19592;144630;649826
10-11;27;1736655,00;0;4;7;197;2829;23266;113200
10-11;28;10926809,50;356169;1;1;64;1090;10497;71367
10-11;29;1705973,50;0;2;4;75;1011;8095;44489
10-11;30;10150010,50;0;71;167;3699;37758;216118;802015
10-11;31;1874756,50;0;0;1;18;243;2258;14605
10-11;32;8323058,00;187476;10;172;4108;43150;257407;978914
10-11;33;2073930,00;0;0;0;3;144;2011;17830
10-11;34;9254737,00;749075;47;157;2190;25570;168351;695397
10-11;35;11205814,50;456265;23;42;1771;30323;218882;1040316
10-11;36;11071703,50;1008523;2751;5873;82202;478300;1552664;3225467
10-11;37;11890778,50;996453;0;0;11;221;2563;20870
10-11;38;12221516,50;3612425;3;10;232;5518;70210;466725
10-11;39;11486317,50;0;0;2;62;1156;12931;92460
10-11;40;1531083,50;0;0;0;5;39;382;2726
